Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,53507.00,53614.00,52919.00,53157.00,2370800,53157.00
2014-06-26,53426.00,53790.00,53331.00,53506.00,2241300,53506.00
2014-06-25,54281.00,54393.00,53363.00,53426.00,2953100,53426.00
2014-06-24,54194.00,55002.00,54094.00,54281.00,3121500,54281.00
2014-06-23,54637.00,54724.00,54097.00,54210.00,1403100,54210.00
2014-06-20,55192.00,55192.00,54540.00,54638.00,2347800,54638.00
2014-06-18,54301.00,55203.00,54046.00,55203.00,3265400,55203.00
2014-06-17,54630.00,54638.00,54150.00,54300.00,1588400,54300.00
2014-06-16,54807.00,54855.00,54475.00,54630.00,2637400,54630.00
2014-06-13,55102.00,55104.00,54649.00,54807.00,2664400,54807.00
2014-06-11,54676.00,55284.00,54676.00,55102.00,3796000,55102.00
2014-06-10,54273.00,54604.00,53960.00,54604.00,3729900,54604.00
2014-06-09,53129.00,54462.00,53091.00,54273.00,3660000,54273.00
2014-06-06,51562.00,53175.00,51562.00,53129.00,4298400,53129.00
2014-06-05,51833.00,52245.00,51470.00,51559.00,2890000,51559.00
2014-06-04,52032.00,52032.00,51609.00,51833.00,2571500,51833.00
2014-06-03,51606.00,52032.00,51377.00,52032.00,2859400,52032.00
2014-06-02,51239.00,51879.00,51239.00,51606.00,2597900,51606.00
2014-05-30,52233.00,52233.00,51239.00,51239.00,4533200,51239.00
2014-05-29,52649.00,52889.00,52031.00,52239.00,2394300,52239.00
2014-05-28,52174.00,52858.00,52009.00,52640.00,2842500,52640.00
2014-05-27,52932.00,53309.00,52079.00,52172.00,2894700,52172.00
2014-05-26,52649.00,53044.00,52649.00,52932.00,1186800,52932.00
2014-05-23,52807.00,52936.00,52403.00,52626.00,2462300,52626.00
2014-05-22,52206.00,52851.00,52133.00,52806.00,2941400,52806.00
2014-05-21,52366.00,52875.00,52203.00,52203.00,3248100,52203.00
2014-05-20,53353.00,53843.00,52313.00,52366.00,3948600,52366.00
2014-05-19,53976.00,53991.00,53267.00,53353.00,3089500,53353.00
2014-05-16,53856.00,54382.00,53709.00,53976.00,3541400,53976.00
2014-05-15,54404.00,54404.00,53565.00,53856.00,3436100,53856.00
2014-05-14,53913.00,54459.00,53867.00,54413.00,2878900,54413.00
2014-05-13,54056.00,54243.00,53731.00,53907.00,2956600,53907.00
2014-05-12,53103.00,54053.00,53103.00,54053.00,2744300,54053.00
2014-05-09,53422.00,53639.00,53057.00,53100.00,3177900,53100.00
2014-05-08,54053.00,54249.00,53222.00,53422.00,3344300,53422.00
2014-05-07,53786.00,54226.00,53499.00,54053.00,4569600,54053.00
2014-05-06,53446.00,53986.00,53094.00,53780.00,4965700,53780.00
2014-05-05,52989.00,53506.00,52931.00,53446.00,4441100,53446.00
2014-05-02,51630.00,53060.00,51628.00,52980.00,8106000,52980.00
2014-04-30,51837.00,51837.00,51250.00,51626.00,4623600,51626.00
2014-04-29,51386.00,52416.00,51386.00,51839.00,4326300,51839.00
2014-04-28,51397.00,51471.00,50777.00,51384.00,2711300,51384.00
2014-04-25,51817.00,51817.00,51019.00,51399.00,2954700,51399.00
2014-04-24,51570.00,51963.00,51238.00,51817.00,3186900,51817.00
2014-04-23,51975.00,51975.00,51400.00,51570.00,2844000,51570.00
2014-04-22,52112.00,52460.00,51682.00,51977.00,3492900,51977.00
2014-04-17,51200.00,52338.00,50886.00,52111.00,3015500,52111.00
2014-04-16,50469.00,51288.00,50469.00,51201.00,3427100,51201.00
2014-04-15,51593.00,51593.00,49890.00,50454.00,3858800,50454.00
2014-04-14,51867.00,52110.00,51361.00,51596.00,2686800,51596.00
2014-04-11,51127.00,51871.00,50518.00,51867.00,3395300,51867.00
2014-04-10,51185.00,51522.00,50732.00,51127.00,3588900,51127.00
2014-04-09,51629.00,51629.00,50653.00,51185.00,4195300,51185.00
2014-04-08,52173.00,53394.00,51377.00,51629.00,5496100,51629.00
2014-04-07,51115.00,52229.00,51115.00,52155.00,3673400,52155.00
2014-04-04,51428.00,52288.00,51034.00,51082.00,3696200,51082.00
2014-04-03,51712.00,51991.00,51059.00,51408.00,3503400,51408.00
2014-04-02,50273.00,51794.00,50201.00,51701.00,4790700,51701.00
2014-04-01,50412.00,50627.00,49774.00,50270.00,3501200,50270.00
2014-03-31,49770.00,50418.00,49770.00,50415.00,3645900,50415.00
2014-03-28,49653.00,50181.00,49606.00,49768.00,4230500,49768.00
2014-03-27,47965.00,49647.00,47962.00,49647.00,5928200,49647.00
2014-03-26,48182.00,48725.00,47963.00,47966.00,3439100,47966.00
2014-03-25,47993.00,48441.00,47950.00,48180.00,2953800,48180.00
2014-03-24,47382.00,48142.00,47382.00,47993.00,3008900,47993.00
2014-03-21,47272.00,47832.00,46721.00,47381.00,4187600,47381.00
2014-03-20,46565.00,47484.00,46151.00,47278.00,4364800,47278.00
2014-03-19,46152.00,46803.00,45909.00,46567.00,3337700,46567.00
2014-03-18,45115.00,46217.00,45074.00,46150.00,3593900,46150.00
2014-03-17,44979.00,45499.00,44969.00,45118.00,2929300,45118.00
2014-03-14,45444.00,45562.00,44905.00,44966.00,3477100,44966.00
2014-03-13,45864.00,46176.00,45250.00,45444.00,3118200,45444.00
2014-03-12,45687.00,45916.00,45508.00,45862.00,3021300,45862.00
2014-03-11,45533.00,46050.00,45401.00,45698.00,3282400,45698.00
2014-03-10,46242.00,46242.00,45203.00,45533.00,3673600,45533.00
2014-03-07,47093.00,47218.00,46086.00,46244.00,3982800,46244.00
2014-03-06,46592.00,47400.00,46502.00,47093.00,3164900,47093.00
2014-03-05,47092.00,47154.00,46473.00,46589.00,2293000,46589.00
2014-02-28,47613.00,47813.00,47043.00,47094.00,4088300,47094.00
2014-02-27,46622.00,47781.00,46622.00,47607.00,3046300,47607.00
2014-02-26,46718.00,47010.00,46403.00,46599.00,3225700,46599.00
2014-02-25,47388.00,47388.00,46614.00,46716.00,2924800,46716.00
2014-02-24,47375.00,47538.00,46991.00,47393.00,2990700,47393.00
2014-02-21,47290.00,47816.00,47075.00,47380.00,2605800,47380.00
2014-02-20,47127.00,47600.00,46634.00,47289.00,2996900,47289.00
2014-02-19,46597.00,47155.00,46134.00,47151.00,3995400,47151.00
2014-02-18,47575.00,47712.00,46600.00,46600.00,3860000,46600.00
2014-02-17,48199.00,48297.00,47540.00,47576.00,1884200,47576.00
2014-02-14,47816.00,48314.00,47756.00,48201.00,3192200,48201.00
2014-02-13,48211.00,48211.00,47129.00,47813.00,3167100,47813.00
2014-02-12,48467.00,48669.00,48044.00,48217.00,2766300,48217.00
2014-02-11,47715.00,48604.00,47589.00,48463.00,3379300,48463.00
2014-02-10,48070.00,48136.00,47465.00,47711.00,2634500,47711.00
2014-02-07,47739.00,48253.00,47557.00,48074.00,3195800,48074.00
2014-02-06,46988.00,48034.00,46632.00,47738.00,3632200,47738.00
2014-02-05,46964.00,47148.00,46224.00,46624.00,3358900,46624.00
2014-02-04,46148.00,47132.00,46146.00,46964.00,3471600,46964.00
2014-02-03,47623.00,47623.00,46109.00,46148.00,3622100,46148.00
2014-01-31,47234.00,47652.00,46814.00,47639.00,3718700,47639.00
2014-01-30,47554.00,48034.00,47115.00,47244.00,3108300,47244.00
2014-01-29,47839.00,47884.00,47154.00,47557.00,3324900,47557.00
2014-01-28,47750.00,48488.00,47750.00,47841.00,2694500,47841.00
2014-01-27,47782.00,48147.00,47493.00,47701.00,2936000,47701.00
2014-01-24,48325.00,48327.00,47493.00,47787.00,3535000,47787.00
2014-01-23,49294.00,49598.00,48321.00,48321.00,3881700,48321.00
2014-01-22,48543.00,49487.00,48543.00,49300.00,3873300,49300.00
2014-01-21,48728.00,49124.00,48440.00,48542.00,3104400,48542.00
2014-01-20,49180.00,49292.00,48673.00,48708.00,1413000,48708.00
2014-01-17,49696.00,49868.00,49174.00,49182.00,2615000,49182.00
