Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,42613.25,42933.70,42481.30,42493.86,229603000,42493.86
2014-06-26,42864.85,42916.54,42613.39,42613.80,153736000,42613.80
2014-06-25,42885.66,42930.01,42786.37,42854.19,176349900,42854.19
2014-06-24,42915.04,43016.76,42785.62,42884.76,132851000,42884.76
2014-06-23,42865.72,42948.65,42691.35,42916.73,114987000,42916.73
2014-06-20,42959.83,43038.58,42787.64,42865.72,447349100,42865.72
2014-06-19,42800.65,43007.71,42787.11,42957.36,97277000,42957.36
2014-06-18,42612.78,42821.25,42525.57,42802.60,175284800,42802.60
2014-06-17,42593.23,42657.35,42446.47,42612.64,93662700,42612.64
2014-06-16,42523.33,42641.11,42321.37,42596.25,131363600,42596.25
2014-06-13,42602.92,42874.36,42485.63,42485.66,169407800,42485.66
2014-06-12,42946.32,43016.48,42551.93,42617.62,123698100,42617.62
2014-06-11,43044.89,43079.07,42759.38,42944.81,161829300,42944.81
2014-06-10,43009.19,43049.04,42821.68,43045.27,217772200,43045.27
2014-06-09,42780.85,43175.77,42729.66,43009.99,144386200,43009.99
2014-06-06,42173.03,42840.41,42164.35,42778.26,249983700,42778.26
2014-06-05,41956.68,42276.68,41949.23,42173.03,209660500,42173.03
2014-06-04,42127.90,42127.90,41855.05,41953.30,136508900,41953.30
2014-06-03,41938.83,42135.53,41807.68,42126.09,175304800,42126.09
2014-06-02,41375.41,41953.99,41375.41,41936.71,159929000,41936.71
2014-05-30,42011.66,42026.56,41360.81,41362.51,607473700,41362.51
2014-05-29,41960.66,42095.80,41884.12,42009.92,159646100,42009.92
2014-05-28,41958.27,42022.16,41862.43,41960.45,159257800,41960.45
2014-05-27,42005.29,42144.25,41836.80,41958.97,188542600,41958.97
2014-05-26,41918.57,42138.33,41896.15,42004.58,35873900,42004.58
2014-05-23,41946.95,42035.70,41818.41,41917.92,174316800,41917.92
2014-05-22,41827.60,42090.28,41813.15,41943.96,195695000,41943.96
2014-05-21,41805.10,42056.90,41764.90,41828.98,215028900,41828.98
2014-05-20,41836.48,42001.68,41668.83,41805.10,212326200,41805.10
2014-05-19,41894.72,41903.02,41463.09,41840.05,295391700,41840.05
2014-05-16,41564.31,42031.48,41543.86,41898.84,181652000,41898.84
2014-05-15,42143.96,42200.11,41531.61,41561.83,178484200,41561.83
2014-05-14,42231.78,42231.78,42017.99,42144.51,208381500,42144.51
2014-05-13,42086.06,42492.61,41926.62,42236.83,258902900,42236.83
2014-05-12,41641.76,42086.73,41591.98,42086.17,133906100,42086.17
2014-05-09,41670.57,41780.65,41528.76,41641.11,171858400,41641.11
2014-05-08,41806.13,42093.91,41592.20,41659.91,152828600,41659.91
2014-05-07,41471.36,41826.46,41368.67,41803.13,201117400,41803.13
2014-05-06,41047.33,41623.69,40883.39,41470.82,148157700,41470.82
2014-05-05,40968.96,41053.93,40736.90,41047.88,99503900,41047.88
2014-05-02,40729.04,41053.93,40729.04,40967.95,166721600,40967.95
2014-04-30,40702.81,40798.43,40433.66,40711.56,298205400,40711.56
2014-04-29,40145.31,40702.76,40095.54,40702.67,153259400,40702.67
2014-04-28,40198.16,40314.19,40038.67,40136.57,130568700,40136.57
2014-04-25,40409.52,40423.96,39979.53,40198.40,182921400,40198.40
2014-04-24,40298.62,40443.80,40150.40,40407.93,171353500,40407.93
2014-04-23,40466.85,40496.23,40168.50,40296.98,182696100,40296.98
2014-04-22,40655.36,40762.76,40438.80,40468.20,210715100,40468.20
2014-04-21,40885.70,41003.64,40650.08,40654.07,145667700,40654.07
2014-04-16,40481.80,40891.09,40481.80,40890.53,181153500,40890.53
2014-04-15,40536.17,40571.23,40105.29,40481.80,163304700,40481.80
2014-04-14,40385.44,40615.34,40349.99,40530.69,124937600,40530.69
2014-04-11,40447.09,40455.86,40020.58,40380.79,176577600,40380.79
2014-04-10,40925.63,41089.79,40381.26,40447.96,193618700,40447.96
2014-04-09,40895.56,41075.42,40662.57,40937.77,170132700,40937.77
2014-04-08,40592.96,41004.88,40541.45,40906.83,247610300,40906.83
2014-04-07,40580.55,40875.61,40347.15,40595.70,171352100,40595.70
2014-04-04,40568.39,41167.30,40542.12,40598.34,296784100,40598.34
2014-04-03,40898.32,41087.54,40249.01,40563.06,240573700,40563.06
2014-04-02,40478.30,40900.53,40478.30,40900.53,281456700,40900.53
2014-04-01,40465.98,40781.10,40299.48,40470.01,282276200,40470.01
2014-03-31,40052.54,40461.60,40051.12,40461.60,271755600,40461.60
2014-03-28,39896.59,40299.35,39896.59,40048.20,174814600,40048.20
2014-03-27,39759.51,39973.79,39703.02,39911.01,200015300,39911.01
