Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,3886.91,3890.73,3872.74,3874.47,000,3874.47
2014-06-26,3893.83,3893.83,3876.86,3886.91,000,3886.91
2014-06-25,3902.03,3902.03,3885.87,3893.83,000,3893.83
2014-06-24,3879.98,3903.88,3876.99,3902.03,000,3902.03
2014-06-23,3870.61,3881.52,3861.42,3879.98,000,3879.98
2014-06-20,3893.56,3894.74,3865.37,3870.20,000,3870.20
2014-06-19,3869.30,3896.07,3869.30,3893.56,000,3893.56
2014-06-18,3827.68,3875.16,3823.59,3869.30,000,3869.30
2014-06-17,3841.28,3842.13,3824.82,3827.68,000,3827.68
2014-06-16,3863.13,3863.46,3839.69,3841.28,000,3841.28
2014-06-13,3890.77,3892.17,3856.83,3863.13,000,3863.13
2014-06-12,3907.07,3907.07,3883.12,3890.77,000,3890.77
2014-06-11,3929.53,3930.29,3895.57,3906.91,000,3906.91
2014-06-10,3912.01,3934.97,3903.55,3929.53,000,3929.53
2014-06-09,3936.37,3942.07,3908.22,3912.01,000,3912.01
2014-06-06,3940.35,3945.18,3934.73,3936.37,000,3936.37
2014-06-05,3916.96,3942.02,3914.40,3940.35,000,3940.35
2014-06-04,3914.19,3918.20,3900.05,3916.96,000,3916.96
2014-06-03,3891.19,3908.83,3883.44,3908.83,000,3908.83
2014-06-02,3903.81,3920.91,3885.98,3891.19,000,3891.19
2014-05-30,3944.21,3948.84,3893.85,3903.81,000,3903.81
2014-05-29,3929.30,3946.08,3926.68,3944.21,000,3944.21
2014-05-28,3930.02,3937.68,3919.25,3929.30,000,3929.30
2014-05-27,3959.01,3971.47,3923.03,3930.02,000,3930.02
2014-05-26,3961.79,3970.40,3957.06,3959.01,000,3959.01
2014-05-23,3926.87,3964.01,3926.87,3960.06,000,3960.06
2014-05-22,3881.35,3927.85,3881.35,3925.31,000,3925.31
2014-05-20,3940.09,3940.09,3867.45,3881.35,000,3881.35
2014-05-19,3970.81,3971.90,3929.10,3935.28,000,3935.28
2014-05-16,3949.29,3972.55,3939.91,3969.38,000,3969.38
2014-05-15,3964.09,3967.59,3929.46,3947.20,000,3947.20
2014-05-14,3956.33,3965.69,3938.09,3964.09,000,3964.09
2014-05-13,3920.17,3959.51,3914.27,3956.33,000,3956.33
2014-05-12,3920.66,3923.43,3901.42,3920.17,000,3920.17
2014-05-09,3913.67,3913.83,3896.66,3904.06,000,3904.06
2014-05-08,3904.04,3922.22,3893.93,3910.93,000,3910.93
2014-05-07,3891.53,3905.31,3887.88,3903.68,000,3903.68
2014-05-06,3907.00,3907.00,3877.72,3891.53,000,3891.53
2014-05-05,3938.90,3938.90,3905.16,3907.00,000,3907.00
2014-05-02,3910.38,3932.05,3905.30,3929.85,000,3929.85
2014-04-30,3848.09,3913.97,3847.08,3909.64,000,3909.64
2014-04-29,3814.24,3850.89,3814.24,3846.91,000,3846.91
2014-04-28,3823.65,3825.80,3806.49,3812.86,000,3812.86
2014-04-25,3870.75,3872.85,3820.33,3823.65,000,3823.65
2014-04-24,3872.59,3878.40,3857.73,3869.16,000,3869.16
2014-04-23,3880.31,3883.77,3868.09,3871.61,000,3871.61
2014-04-22,3882.13,3887.86,3872.02,3878.50,000,3878.50
2014-04-21,3898.18,3903.98,3884.17,3887.86,000,3887.86
2014-04-17,3913.95,3918.91,3890.63,3895.63,000,3895.63
2014-04-16,3887.02,3913.02,3879.84,3912.24,000,3912.24
2014-04-15,3892.93,3895.78,3858.09,3877.49,000,3877.49
2014-04-14,3857.32,3895.38,3854.01,3893.51,000,3893.51
2014-04-11,3854.65,3874.76,3822.44,3868.35,000,3868.35
2014-04-10,3863.85,3869.16,3837.06,3853.95,000,3853.95
2014-04-09,3820.76,3866.54,3819.93,3863.92,000,3863.92
2014-04-08,3773.29,3828.79,3768.69,3822.19,000,3822.19
2014-04-07,3768.08,3783.54,3757.82,3778.26,000,3778.26
2014-04-04,3792.37,3813.05,3762.97,3766.41,000,3766.41
2014-04-03,3809.86,3826.52,3779.99,3793.64,000,3793.64
2014-04-02,3792.19,3813.68,3785.00,3809.86,000,3809.86
2014-04-01,3782.10,3799.34,3770.35,3794.62,000,3794.62
2014-03-31,3761.88,3786.73,3749.53,3772.76,000,3772.76
2014-03-28,3742.98,3766.33,3742.98,3759.79,000,3759.79
2014-03-27,3693.69,3746.27,3677.56,3742.36,000,3742.36
2014-03-26,3710.29,3721.58,3689.82,3697.14,000,3697.14
2014-03-25,3655.00,3711.34,3652.49,3707.74,000,3707.74
2014-03-24,3638.56,3660.96,3628.50,3658.94,000,3658.94
2014-03-21,3654.43,3680.61,3630.31,3633.20,000,3633.20
2014-03-20,3642.30,3663.22,3616.84,3656.05,000,3656.05
2014-03-19,3673.91,3674.85,3633.66,3638.80,000,3638.80
2014-03-18,3631.34,3681.54,3628.56,3673.62,000,3673.62
2014-03-17,3611.78,3633.73,3611.78,3631.28,000,3631.28
2014-03-14,3630.04,3635.06,3607.32,3611.65,000,3611.65
2014-03-13,3623.29,3638.34,3607.26,3630.76,000,3630.76
2014-03-12,3659.05,3659.05,3619.15,3623.29,000,3623.29
2014-03-11,3656.62,3669.96,3650.88,3659.30,000,3659.30
2014-03-10,3702.06,3704.57,3651.20,3652.51,000,3652.51
2014-03-07,3732.77,3740.71,3694.99,3697.79,000,3697.79
2014-03-06,3715.36,3736.28,3703.86,3730.39,000,3730.39
2014-03-05,3714.36,3719.06,3697.70,3715.81,000,3715.81
2014-03-04,3661.48,3707.29,3661.48,3703.81,000,3703.81
2014-03-03,3720.03,3720.03,3658.85,3661.64,000,3661.64
2014-02-28,3689.73,3722.86,3682.94,3718.88,000,3718.88
2014-02-27,3675.10,3695.03,3665.41,3689.01,000,3689.01
2014-02-26,3633.86,3682.93,3632.70,3675.28,000,3675.28
2014-02-25,3642.34,3644.44,3628.33,3633.78,000,3633.78
2014-02-24,3626.25,3654.62,3616.62,3640.44,000,3640.44
2014-02-21,3644.27,3644.27,3620.16,3626.69,000,3626.69
2014-02-20,3641.25,3648.34,3615.18,3641.09,000,3641.09
2014-02-19,3648.41,3649.75,3617.32,3641.25,000,3641.25
2014-02-18,3671.66,3684.32,3624.25,3648.03,000,3648.03
2014-02-17,3666.48,3680.12,3656.64,3671.70,000,3671.70
2014-02-14,3600.80,3672.61,3600.80,3666.48,000,3666.48
