Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,7818.25,7912.84,7596.59,7905.10,000,7905.10
2014-06-26,7946.84,7977.07,7705.54,7820.50,000,7820.50
2014-06-25,7923.51,8040.09,7884.44,7982.72,000,7982.72
2014-06-24,7988.42,8087.13,7866.56,7912.54,000,7912.54
2014-06-23,7364.67,7998.93,7364.67,7985.11,000,7985.11
2014-06-19,7704.99,7705.44,7341.69,7347.64,000,7347.64
2014-06-18,7505.36,7749.18,7242.95,7727.67,000,7727.67
2014-06-17,7107.08,7592.98,6997.19,7507.10,000,7507.10
2014-06-16,8027.65,8027.65,7221.80,7235.11,000,7235.11
2014-06-13,8057.47,8154.42,8035.35,8047.37,000,8047.37
2014-06-12,8077.26,8137.12,8042.79,8066.51,000,8066.51
2014-06-11,8171.28,8238.73,8051.93,8077.65,000,8077.65
2014-06-10,8334.24,8444.71,8135.76,8157.96,000,8157.96
2014-06-09,8006.97,8291.81,7983.90,8291.81,000,8291.81
2014-06-06,7838.50,7932.19,7838.50,7913.87,000,7913.87
2014-06-05,7695.64,7835.30,7695.64,7835.18,000,7835.18
2014-06-04,7709.13,7747.42,7647.08,7695.48,000,7695.48
2014-06-03,7690.01,7778.69,7688.68,7708.80,000,7708.80
2014-06-02,7713.58,7722.29,7533.84,7678.23,000,7678.23
2014-05-30,7821.37,7865.86,7619.77,7712.23,000,7712.23
2014-05-29,7666.21,7852.92,7666.21,7815.59,000,7815.59
2014-05-28,7580.33,7708.79,7580.33,7665.43,000,7665.43
2014-05-27,7533.36,7594.39,7473.81,7571.62,000,7571.62
2014-05-26,7447.74,7543.45,7447.74,7533.36,000,7533.36
2014-05-23,7380.16,7446.85,7348.19,7446.85,000,7446.85
2014-05-22,7261.07,7392.91,7261.07,7374.81,000,7374.81
2014-05-21,7218.89,7307.26,7137.16,7261.07,000,7261.07
2014-05-20,7151.32,7330.47,7136.81,7218.46,000,7218.46
2014-05-19,6884.02,7160.10,6869.85,7156.31,000,7156.31
2014-05-16,6796.14,6893.35,6772.32,6878.73,000,6878.73
2014-05-15,6880.92,6880.92,6723.37,6784.40,000,6784.40
2014-05-14,6862.74,6919.03,6840.72,6900.49,000,6900.49
2014-05-13,6844.73,6942.94,6844.73,6866.93,000,6866.93
2014-05-12,6849.68,6919.44,6822.78,6843.32,000,6843.32
2014-05-09,6806.09,6858.74,6767.20,6846.69,000,6846.69
2014-05-08,6921.64,6944.22,6806.44,6814.54,000,6814.54
2014-05-07,6817.12,6932.73,6817.12,6921.64,000,6921.64
2014-05-06,6896.18,6912.75,6804.15,6813.48,000,6813.48
