Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,4371.80,4398.85,4371.60,4397.93,3964930000,4397.93
2014-06-26,4379.44,4379.80,4347.45,4379.05,1554070000,4379.05
2014-06-25,4341.82,4383.55,4339.41,4379.76,1722820000,4379.76
2014-06-24,4367.90,4399.87,4342.90,4350.35,2014700000,4350.35
2014-06-23,4368.96,4371.81,4358.68,4368.68,1712930000,4368.68
2014-06-20,4365.37,4368.80,4354.03,4368.04,2721380000,4368.04
2014-06-19,4370.14,4372.18,4339.61,4359.33,1845460000,4359.33
2014-06-18,4341.18,4365.10,4320.54,4362.84,1860660000,4362.84
2014-06-17,4316.01,4346.12,4311.15,4337.23,1814360000,4337.23
2014-06-16,4303.93,4326.89,4296.26,4321.10,1675120000,4321.10
2014-06-13,4315.31,4317.67,4288.41,4310.65,1754560000,4310.65
2014-06-12,4323.11,4328.35,4284.53,4297.63,1908190000,4297.63
2014-06-11,4322.92,4338.21,4315.49,4331.93,1778460000,4331.93
2014-06-10,4329.20,4338.87,4319.93,4338.00,1787120000,4338.00
2014-06-09,4324.35,4346.74,4320.28,4336.24,1783060000,4336.24
2014-06-06,4312.76,4322.51,4305.74,4321.40,1616650000,4321.40
2014-06-05,4259.12,4299.50,4241.68,4296.23,1926750000,4296.23
2014-06-04,4222.21,4256.19,4216.23,4251.64,1610090000,4251.64
2014-06-03,4222.04,4240.35,4215.80,4234.08,1718640000,4234.08
2014-06-02,4247.96,4247.96,4207.61,4237.20,1631310000,4237.20
2014-05-30,4251.49,4252.08,4221.95,4242.62,1903660000,4242.62
2014-05-29,4238.04,4247.95,4228.96,4247.95,1714000000,4247.95
2014-05-28,4234.96,4238.17,4216.89,4225.08,1785140000,4225.08
2014-05-27,4206.44,4237.07,4204.72,4237.07,1812330000,4237.07
2014-05-23,4159.78,4186.58,4148.30,4185.81,1536610000,4185.81
2014-05-22,4136.09,4164.85,4131.47,4154.34,1835810000,4154.34
2014-05-21,4105.96,4133.61,4103.61,4131.54,1703500000,4131.54
2014-05-20,4121.11,4124.86,4080.61,4096.89,1797910000,4096.89
2014-05-19,4080.33,4128.47,4075.70,4125.81,1601400000,4125.81
2014-05-16,4070.35,4091.16,4044.27,4090.59,1741070000,4090.59
