Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,3271.86,3275.80,3266.46,3271.05,102000700,3271.05
2014-06-26,3266.70,3279.37,3265.78,3278.57,125806700,3278.57
2014-06-25,3261.34,3270.07,3260.23,3261.54,144986000,3261.54
2014-06-24,3258.28,3269.17,3256.50,3262.03,103135100,3262.03
2014-06-23,3262.17,3265.08,3254.26,3257.40,112589300,3257.40
2014-06-20,3268.10,3270.89,3258.80,3258.80,160286000,3258.80
2014-06-19,3282.78,3282.97,3268.32,3269.02,183470400,3269.02
2014-06-18,3277.14,3282.40,3269.77,3276.80,127041000,3276.80
2014-06-17,3289.56,3295.13,3268.45,3274.44,154989800,3274.44
2014-06-16,3292.59,3297.62,3288.81,3290.26,130104000,3290.26
2014-06-13,3285.66,3296.02,3285.15,3293.25,116650100,3293.25
2014-06-12,3284.33,3297.42,3282.70,3293.01,133170200,3293.01
2014-06-11,3291.38,3292.33,3282.31,3290.04,181302300,3290.04
2014-06-10,3306.76,3306.76,3287.64,3293.82,105521000,3293.82
2014-06-09,3308.62,3311.44,3298.33,3305.20,121271400,3305.20
2014-06-06,3285.18,3302.85,3284.40,3299.43,184615400,3299.43
2014-06-05,3278.08,3282.86,3272.23,3279.64,181071600,3279.64
2014-06-04,3295.18,3298.07,3273.58,3280.17,250909200,3280.17
2014-06-03,3304.06,3304.19,3292.03,3296.67,224842400,3296.67
2014-06-02,3303.23,3305.35,3293.12,3302.24,149803300,3302.24
2014-05-30,3281.27,3301.81,3281.27,3295.85,301741500,3295.85
2014-05-29,3279.85,3308.80,3278.31,3300.71,286198800,3300.71
2014-05-28,3275.37,3282.23,3270.61,3271.84,238112000,3271.84
2014-05-27,3282.52,3288.74,3271.89,3274.06,192844300,3274.06
2014-05-26,3283.76,3291.83,3278.35,3282.88,149634300,3282.88
2014-05-23,3266.31,3279.53,3266.22,3278.02,218549100,3278.02
2014-05-22,3265.52,3272.77,3259.10,3265.66,230509600,3265.66
2014-05-21,3260.27,3262.31,3254.54,3261.78,153112000,3261.78
2014-05-20,3260.49,3268.75,3260.14,3265.47,209701600,3265.47
2014-05-19,3262.00,3268.92,3252.48,3262.43,450228400,3262.43
2014-05-16,3266.83,3272.48,3255.14,3262.59,322157000,3262.59
2014-05-15,3253.43,3273.95,3250.15,3272.49,273778600,3272.49
2014-05-14,3245.99,3261.22,3244.08,3259.09,330769600,3259.09
2014-05-12,3253.74,3254.58,3221.37,3222.43,205301700,3222.43
2014-05-09,3242.44,3254.14,3241.30,3252.13,208153000,3252.13
2014-05-08,3248.08,3254.45,3240.70,3247.69,166082800,3247.69
2014-05-07,3240.30,3241.53,3226.88,3236.43,203893600,3236.43
2014-05-06,3249.13,3250.66,3242.39,3245.56,146432100,3245.56
2014-05-05,3260.52,3263.80,3238.53,3241.60,153718200,3241.60
2014-05-02,3266.13,3267.77,3244.97,3252.55,232694600,3252.55
2014-04-30,3249.35,3267.83,3248.62,3264.71,324850500,3264.71
2014-04-29,3230.34,3238.78,3222.77,3237.74,187214300,3237.74
2014-04-28,3255.35,3267.39,3234.12,3242.71,241479600,3242.71
