Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,53507.00,53614.00,52919.00,53157.00,2370800,53157.00
2014-06-26,53426.00,53790.00,53331.00,53506.00,2241300,53506.00
2014-06-25,54281.00,54393.00,53363.00,53426.00,2953100,53426.00
2014-06-24,54194.00,55002.00,54094.00,54281.00,3121500,54281.00
2014-06-23,54637.00,54724.00,54097.00,54210.00,1403100,54210.00
2014-06-20,55192.00,55192.00,54540.00,54638.00,2347800,54638.00
2014-06-18,54301.00,55203.00,54046.00,55203.00,3265400,55203.00
2014-06-17,54630.00,54638.00,54150.00,54300.00,1588400,54300.00
2014-06-16,54807.00,54855.00,54475.00,54630.00,2637400,54630.00
2014-06-13,55102.00,55104.00,54649.00,54807.00,2664400,54807.00
2014-06-11,54676.00,55284.00,54676.00,55102.00,3796000,55102.00
2014-06-10,54273.00,54604.00,53960.00,54604.00,3729900,54604.00
2014-06-09,53129.00,54462.00,53091.00,54273.00,3660000,54273.00
2014-06-06,51562.00,53175.00,51562.00,53129.00,4298400,53129.00
2014-06-05,51833.00,52245.00,51470.00,51559.00,2890000,51559.00
2014-06-04,52032.00,52032.00,51609.00,51833.00,2571500,51833.00
2014-06-03,51606.00,52032.00,51377.00,52032.00,2859400,52032.00
2014-06-02,51239.00,51879.00,51239.00,51606.00,2597900,51606.00
2014-05-30,52233.00,52233.00,51239.00,51239.00,4533200,51239.00
